Checked,Tags,Name,Calc. MW,RT [min],Reference m/z,Avg TIC,Calculated RI,# Adducts,MS2,MS Depth,Sample1,Sample2,blank_10,Sample49,Sample50,Sample51,Sample52,Sample55,Sample57,blank_11,Sample58,Sample59,blank_12,Sample71,blank_13,Sample77,Sample78,Sample79,Sample80,Sample81,blank_14,Sample84,blank_15,Sample87,Sample88,Sample90,Sample91,blank_1,Sample3,Sample4,Sample5,Sample6,Sample7,blank_2,Sample10,Sample12,Sample14,Sample15,blank_3,Sample19,blank_4,Sample23,blank_5,Sample27,Sample28,blank_6,Sample37,Sample38,Sample40,blank_7,Sample44,blank_8,Sample46,blank_9,QC_1,QC_2,QC_3,QC_4,QC_8,QC_9,QC_10,QC_11,QC_12,QC_13,QC_14,QC_15,QC_5,QC_6,QC_7,tracers_1,tracers_2,tracers_3,tracers_4,tracers_5
False,,,160.12534,4.788,110.10465,37993,,2,No MS2,1,1223.0,6468.0,2344.0,1663.0,85387.0,3664.0,13447.0,6340.0,1717.0,1963.0,4855.0,,3019.0,2906.0,13067.0,6257.0,1587.0,4317.0,4247.0,7454.0,5403.0,7133.0,5261.0,6430.0,9687.0,12522.0,33798.0,21697.0,9628.0,3344.0,1280.0,5231.0,616.0,3184.0,2310.0,1085.0,5199.0,3620.0,1277.0,,4204.0,2466.0,18724.0,40809.0,970.0,2744.0,13562.0,5071.0,9584.0,2080.0,17470.0,2945.0,2836.0,1724.0,,14389.0,2971.0,7089.0,416.0,6277.0,3077.0,3930.0,3527.0,12966.0,2610.0,3857.0,5653.0,6105.0,3988.0,819370.0,,,,
False,,,186.14105,4.788,110.10474,42782,,1,No MS2,1,1223.0,6468.0,2344.0,1663.0,85387.0,3664.0,13447.0,6340.0,1717.0,,4855.0,,3019.0,2906.0,13067.0,6257.0,1587.0,4317.0,4247.0,7454.0,5403.0,7133.0,5261.0,6430.0,9687.0,12522.0,33798.0,21697.0,9628.0,3344.0,1280.0,5231.0,616.0,3184.0,2310.0,1085.0,5199.0,3620.0,1277.0,,4204.0,2466.0,18724.0,40809.0,970.0,2744.0,13562.0,5071.0,9584.0,2080.0,17470.0,2945.0,2836.0,1724.0,,14389.0,2971.0,7089.0,416.0,6277.0,3077.0,3930.0,3527.0,12966.0,2610.0,3857.0,5653.0,6105.0,3988.0,819370.0,,,,
False,,,154.07855,4.789,110.1048,51026,,1,No MS2,1,1223.0,6468.0,2344.0,,85387.0,3664.0,13447.0,6340.0,1717.0,1963.0,4855.0,,3019.0,2906.0,13067.0,6257.0,1587.0,4317.0,4247.0,7454.0,5403.0,7133.0,5261.0,6430.0,9687.0,12522.0,33798.0,21697.0,9628.0,3344.0,1280.0,5231.0,6672.0,3184.0,2310.0,1085.0,5199.0,3620.0,1277.0,,4204.0,2466.0,18724.0,40809.0,970.0,2744.0,13562.0,5071.0,9584.0,2080.0,17470.0,2945.0,2836.0,1724.0,6709.0,14389.0,2971.0,7089.0,416.0,6277.0,3077.0,3930.0,3527.0,12966.0,2610.0,3857.0,5653.0,6105.0,3988.0,819370.0,,,,
False,,,68.06269,4.79,55.0542,4171394,,4,DDA for preferred ion,2,10840.0,63078.0,109729.0,8904.0,5190386.0,38451.0,361765.0,76544.0,11604.0,8827.0,173765.0,5329345.0,132386.0,31300.0,97197.0,1062886.0,10827.0,2257020.0,1301228.0,1416084.0,1098163.0,869938.0,646728.0,1767096.0,2242674.0,1137769.0,6143481.0,711845.0,5710742.0,1164128.0,58849.0,71339.0,161668.0,76981.0,45363.0,16699.0,99429.0,119543.0,11306.0,417406.0,57347.0,698761.0,885833.0,1265821.0,20303.0,33814.0,116629.0,86655.0,436052.0,125386.0,410927.0,28398.0,25094.0,125530.0,237552.0,550586.0,125953.0,52873.0,12269.0,38272.0,10526.0,26819.0,34042.0,100341.0,20787.0,39691.0,220924.0,70667.0,223476.0,106102382.0,69402115.0,28169169.0,9980490.0,3799188.0
False,,,120.09416,4.79,65.03868,63548,,2,No MS2,1,1707.0,7832.0,4945.0,1179.0,127775.0,2652.0,11114.0,6193.0,865.0,1283.0,2092.0,96367.0,5271.0,498.0,5323.0,14134.0,958.0,71689.0,24735.0,29552.0,18504.0,14649.0,10710.0,29425.0,52041.0,29634.0,107619.0,16244.0,100684.0,21244.0,3927.0,3087.0,4882.0,3127.0,2857.0,1444.0,5718.0,4993.0,973.0,4189.0,2378.0,17735.0,15697.0,28554.0,938.0,393.0,3695.0,5330.0,10129.0,1925.0,10029.0,1908.0,1994.0,4038.0,5046.0,9133.0,3568.0,4390.0,2066.0,3918.0,,867.0,,7074.0,2351.0,3165.0,5305.0,4414.0,5598.0,2644176.0,1731325.0,761532.0,208375.0,91618.0
False,,,95.0861,4.791,77.03864,1703188,,2,No MS2,1,886.0,28315.0,12631.0,320.0,77110.0,6803.0,18668.0,9494.0,4299.0,5108.0,15854.0,75641.0,15022.0,776.0,17504.0,17017.0,4067.0,118670.0,64957.0,40003.0,29638.0,19894.0,15222.0,36296.0,82258.0,40188.0,129984.0,10713.0,125064.0,29648.0,9153.0,7714.0,13538.0,13890.0,9102.0,390.0,20449.0,14587.0,3235.0,14121.0,6357.0,14113.0,15668.0,16960.0,3647.0,5655.0,18488.0,14725.0,21113.0,7433.0,7623.0,4606.0,4397.0,5354.0,10735.0,26969.0,7373.0,7869.0,1397.0,20040.0,545.0,5939.0,6376.0,29842.0,5728.0,16895.0,19649.0,20909.0,17015.0,1486272.0,965649.0,262886.0,94540.0,44056.0
False,,,222.14041,4.791,56.05753,40335,,1,No MS2,1,1172.0,3086.0,3059.0,285.0,272773.0,1647.0,17329.0,1840.0,1770.0,,6561.0,255117.0,6761.0,521.0,3931.0,50707.0,1089.0,116240.0,73764.0,75824.0,60833.0,49690.0,36219.0,91354.0,109649.0,67235.0,320529.0,36369.0,287947.0,61649.0,2037.0,981.0,4427.0,5510.0,2279.0,616.0,1673.0,6314.0,536.0,14769.0,1581.0,32563.0,44155.0,70018.0,929.0,1592.0,9490.0,3567.0,21079.0,6456.0,22199.0,573.0,421.0,7139.0,13071.0,38315.0,7093.0,1255.0,396.0,1706.0,401.0,654.0,3487.0,6745.0,853.0,1585.0,9556.0,2968.0,12054.0,4691806.0,3058884.0,1249720.0,365464.0,172887.0
False,,,94.07828,4.794,67.05419,2036774,,2,DDA for preferred ion,2,26708.0,153128.0,108307.0,18953.0,5165100.0,62086.0,60007.0,108737.0,29916.0,27504.0,113217.0,1289663.0,95739.0,17985.0,372754.0,195084.0,6318.0,802304.0,380622.0,243991.0,,160768.0,,,585741.0,311285.0,1036431.0,751818.0,851285.0,208230.0,,112606.0,146012.0,,14015.0,33897.0,108132.0,129963.0,2146.0,83089.0,66881.0,600840.0,949563.0,1710652.0,31449.0,41387.0,303027.0,,159923.0,7159.0,547778.0,38295.0,31758.0,,114283.0,420603.0,83937.0,77603.0,23874.0,127897.0,28088.0,55739.0,54576.0,,48585.0,63625.0,152010.0,83768.0,44779.0,49118174.0,21901710.0,,1836565.0,979759.0
False,,,144.09403,4.795,131.08568,35698,,2,No MS2,1,2782.0,15929.0,7055.0,3465.0,3719.0,3900.0,8248.0,6415.0,3590.0,1790.0,3622.0,,10443.0,2245.0,2067.0,7002.0,1375.0,10049.0,10360.0,6705.0,1962.0,3213.0,5829.0,5729.0,2711.0,7833.0,,1082.0,11392.0,2982.0,9618.0,6243.0,6600.0,7527.0,6867.0,3648.0,8525.0,9016.0,1429.0,4430.0,4275.0,5894.0,1302.0,,1586.0,4701.0,,7059.0,5097.0,4518.0,2931.0,1257.0,907.0,1271.0,5537.0,4886.0,5357.0,8944.0,3183.0,13483.0,,2411.0,5735.0,12118.0,2877.0,7117.0,6161.0,672.0,10920.0,,1161.0,3206.0,,
False,,,208.12532,4.797,138.13606,4592,,1,No MS2,1,604.0,,,,3898.0,,,,,,,,,814.0,,,1115.0,,,11476.0,,3924.0,,,,,,,3458.0,,,293.0,,,,,566.0,,,,,1910.0,,2744.0,,,,,,,10867.0,,1142.0,,1094.0,4524.0,,,,777.0,,,,,,,2844.0,,,,,,,
